,time_stamp,song_id,run_id,genre,artist,dna,dna_artist,url,meta
41,2021-06-10 03:55:43.093509,wHml1oMlJdwlASWY_hdlyMh,wHml1oMlJdwlASWY,classical,the doors,mary_may2_prompted_zhu_house_3_TRIMMED.wav,mary may,http://matlaberp2.media.mit.edu:8000/outputs/5/mary_may2_prompted_zhu_house_3_TRIMMED_thedoors_classical_prompt6_dur25/level_0/item_5.wav,batch2
42,2021-06-10 03:55:43.173452,IjIiaSKB7k8j2XMW_kxAoKg,IjIiaSKB7k8j2XMW,funk,lady gaga,Nobide_CC13_justinbieber_classical_item_1_TRIMMED.wav,nobide,http://matlaberp2.media.mit.edu:8000/outputs/5/Nobide_CC13_crystalcastles_soul_item_2_TRIMMED_ladygaga_funk_prompt6_dur25/level_0/item_0.wav,batch2
43,2021-06-10 03:55:43.257915,IjIiaSKB7k8j2XMW_0gscVU,IjIiaSKB7k8j2XMW,funk,lady gaga,Nobide_CC13_justinbieber_classical_item_1_TRIMMED.wav,nobide,http://matlaberp2.media.mit.edu:8000/outputs/5/Nobide_CC13_crystalcastles_soul_item_2_TRIMMED_ladygaga_funk_prompt6_dur25/level_0/item_1.wav,batch2
44,2021-06-10 03:55:43.337452,IjIiaSKB7k8j2XMW_EAHFa2,IjIiaSKB7k8j2XMW,funk,lady gaga,Nobide_CC13_justinbieber_classical_item_1_TRIMMED.wav,nobide,http://matlaberp2.media.mit.edu:8000/outputs/5/Nobide_CC13_crystalcastles_soul_item_2_TRIMMED_ladygaga_funk_prompt6_dur25/level_0/item_2.wav,batch2
45,2021-06-10 03:55:43.417326,IjIiaSKB7k8j2XMW_F9FvTm,IjIiaSKB7k8j2XMW,funk,lady gaga,Nobide_CC13_justinbieber_classical_item_1_TRIMMED.wav,nobide,http://matlaberp2.media.mit.edu:8000/outputs/5/Nobide_CC13_crystalcastles_soul_item_2_TRIMMED_ladygaga_funk_prompt6_dur25/level_0/item_3.wav,batch2
46,2021-06-10 03:55:43.501437,IjIiaSKB7k8j2XMW_feU5aW,IjIiaSKB7k8j2XMW,funk,lady gaga,Nobide_CC13_justinbieber_classical_item_1_TRIMMED.wav,nobide,http://matlaberp2.media.mit.edu:8000/outputs/5/Nobide_CC13_crystalcastles_soul_item_2_TRIMMED_ladygaga_funk_prompt6_dur25/level_0/item_4.wav,batch2
47,2021-06-10 03:55:43.579265,IjIiaSKB7k8j2XMW_T9wTse,IjIiaSKB7k8j2XMW,funk,lady gaga,Nobide_CC13_justinbieber_classical_item_1_TRIMMED.wav,nobide,http://matlaberp2.media.mit.edu:8000/outputs/5/Nobide_CC13_crystalcastles_soul_item_2_TRIMMED_ladygaga_funk_prompt6_dur25/level_0/item_5.wav,batch2
48,2021-06-10 03:55:58.608894,vaKXAop2UWjbnMHY_EgJtWQ,vaKXAop2UWjbnMHY,rock,the weeknd,jukebox/data/primes/Nobide_CC13_crystalcastles_soul_item_2_TRIMMED.wav,nobide,http://matlaberp2.media.mit.edu:8000/outputs/5/Nobide_CC13_crystalcastles_soul_item_2_TRIMMED_theweeknd_rock_prompt6_dur25/level_0/item_0.wav,batch2
49,2021-06-10 03:55:58.696666,vaKXAop2UWjbnMHY_4dyVts,vaKXAop2UWjbnMHY,rock,the weeknd,jukebox/data/primes/Nobide_CC13_crystalcastles_soul_item_2_TRIMMED.wav,nobide,http://matlaberp2.media.mit.edu:8000/outputs/5/Nobide_CC13_crystalcastles_soul_item_2_TRIMMED_theweeknd_rock_prompt6_dur25/level_0/item_1.wav,batch2
50,2021-06-10 03:55:58.776888,vaKXAop2UWjbnMHY_lCNhVn,vaKXAop2UWjbnMHY,rock,the weeknd,jukebox/data/primes/Nobide_CC13_crystalcastles_soul_item_2_TRIMMED.wav,nobide,http://matlaberp2.media.mit.edu:8000/outputs/5/Nobide_CC13_crystalcastles_soul_item_2_TRIMMED_theweeknd_rock_prompt6_dur25/level_0/item_2.wav,batch2
